method,wallclock_seconds
RPB,1.704003095626831
RPB-FO,1.9653449058532715
RCBM,2.077709913253784
RCBM-FO,6.5135979652404785
PBA,27.173274040222168
PBA-FO,28.085225105285645
SGM,1.3854608535766602
SGM-FO,1.4293310642242432
