iteration,objective
0,0.6041294365205552
1,0.4520134194521522
2,0.41715998603979204
3,0.5203937528287784
4,0.4058599782102399
5,0.45693823699547054
6,0.43535889148844525
7,0.4624827980708978
8,0.42265768018581545
9,0.44982743544282056
10,0.4173026227893561
11,0.44088313274611013
12,0.41036440891086395
13,0.4315148308218573
14,0.40390851012860784
15,0.4223371253598231
16,0.39775227777072075
17,0.41330733409272674
18,0.39188533582490004
19,0.40450399882103316
20,0.3862545222992
21,0.3959943355365831
22,0.380808292734692
23,0.3878442157272833
24,0.3755020953534594
25,0.3801118016028389
26,0.3703054798572778
27,0.37284454053887883
28,0.3652070474617318
29,0.3660778506062475
30,0.36021691127513555
31,0.35983560090963995
32,0.35536677536986094
33,0.3541322716878865
34,0.3507081790278688
35,0.34897672439096583
36,0.3463093613579098
37,0.34437722876078763
38,0.34225088382194835
39,0.34034659395176087
40,0.33861970687924303
41,0.33690485700869033
42,0.33550050481332294
43,0.33407532005283946
44,0.332961788941502
45,0.33187072643205245
46,0.33103593906796674
47,0.33027337006523977
48,0.3296999436825018
49,0.32922022318613575
50,0.32887015440284534
51,0.3286037827322474
52,0.32841920639052025
53,0.3282917845870672
54,0.32820975673827973
55,0.32815849703976024
56,0.3281283130162327
57,0.32811128008851503
58,0.3281021858724169
59,0.3280975607589536
60,0.3280953321608644
61,0.3280943123871924
62,0.3280938702790657
63,0.32809368860369276
64,0.32809361792697
65,0.32809359190662213
66,0.3280935828490824
67,0.32809357987015864
68,0.32809357894531177
69,0.3280935786745101
70,0.3280935785998006
71,0.3280935785804012
72,0.3280935785756653
73,0.32809357857457955
