method,wallclock_seconds
RPB,3.112701177597046
RPB-FO,2.7626280784606934
RCBM,5.29982590675354
RCBM-FO,5.161030054092407
PBA,7.890440940856934
PBA-FO,7.283339977264404
SGM,2.4621388912200928
SGM-FO,2.005770206451416
