iteration,objective
0,0.6809224571894814
1,0.620095870060133
2,0.4362116818393948
3,0.5162463301489932
4,0.4339156200718884
5,0.46338715981753037
6,0.43289346652351607
7,0.45302736306135005
8,0.43297613684926034
9,0.4421256351279006
10,0.4329229760215276
11,0.43978461695085863
12,0.43285348906451016
13,0.4383280921686783
14,0.4328454173784001
15,0.4367551654264121
16,0.4328735304689992
17,0.4357714817658176
18,0.43286429892330236
19,0.4352335659681035
20,0.43283999620245023
21,0.4348870215302658
22,0.4328211087853269
23,0.43461244312344494
24,0.4328113405710649
25,0.4343523655190728
26,0.43281088384306193
27,0.4340816068473027
28,0.4328161480704497
29,0.43386786349266815
30,0.4328168422112754
31,0.4337309439256408
32,0.4328122793241158
33,0.4336393051482313
34,0.4328067151733644
35,0.4335683134796395
36,0.4328021279672662
37,0.43350696499660885
38,0.4327990334005607
39,0.4334473853735962
40,0.4327977022462643
41,0.43338177441505044
42,0.4327984853455682
43,0.4333094123835022
44,0.4328005102462513
45,0.43324853276141484
46,0.4328012483520972
47,0.4332066823874283
48,0.4328002567156196
49,0.4331776450742161
50,0.43279857756428597
51,0.4331549937194579
52,0.43279689277301037
53,0.4331356554165313
54,0.43279545433415645
55,0.4331179592436496
56,0.4327943563752812
57,0.43310055003094405
58,0.43279367870899743
59,0.43308153517750914
60,0.43279356411100295
61,0.4330588651416092
62,0.43279414902866337
63,0.4330337435426039
64,0.4327950420636827
65,0.4330124661350388
66,0.43279542303601853
67,0.43299739517259994
68,0.43279516118138683
69,0.4329866794606296
70,0.4327945821654422
71,0.4329782531227152
72,0.43279392951982165
73,0.4329710499765624
74,0.4327933105274828
75,0.432964534765775
76,0.43279276804092215
77,0.43295838871908804
78,0.4327923227547595
79,0.4329522978521605
80,0.4327919965733806
81,0.43294580195148014
82,0.4327918329755383
83,0.43293813469046527
84,0.43279190789876654
85,0.4329286473548569
86,0.43279226290672096
87,0.4329182787890859
88,0.4327926994651717
89,0.4329095408496807
90,0.43279290289277633
91,0.4329032656255788
92,0.4327928315531286
93,0.4328987488794453
94,0.43279260883905407
95,0.43289518897608403
96,0.4327923338140697
97,0.43289214590206504
98,0.4327920549874196
99,0.43288940048148705
100,0.43279179345082464
101,0.4328868387067662
102,0.43279155844183514
103,0.43288438180621547
104,0.43279135532049173
105,0.4328819499381899
106,0.4327911903399421
107,0.43287942016021674
108,0.43279107552986146
109,0.43287657332703827
110,0.43279103585434453
111,0.43287305180254393
112,0.4327911104725292
113,0.43286860960792584
114,0.4327913140264042
115,0.43286375333845917
116,0.43279155050406903
117,0.4328596133870263
118,0.43279167832972926
