iteration,objective
0,1.5483493213348543
1,1.548349312346265
2,1.1967670489577114
3,1.1967670489568867
4,1.1505873554326214
5,1.1505873554300994
6,1.1505873554286177
7,1.1071284871477278
8,1.1071284871475418
9,1.0914928480211015
10,1.0911569980463587
11,1.0911518413908898
12,1.0911517615162147
13,1.0911517602241643
14,1.0911517602241643
15,1.09115176020505
16,1.09115176020505
17,1.09115176020505
18,1.09115176020505
19,1.09115176020505
20,1.09115176020505
21,1.09115176020505
22,1.0911517602036769
23,1.0911517602036769
24,1.0911517602036769
25,1.0911517602036769
26,1.0911517602036769
27,1.0911517602036769
28,1.0911517602036769
29,1.0911517602036769
30,1.0911517602036769
31,1.0911517602036769
32,1.0911517602036769
33,1.0911517602036769
34,1.0911517602036769
35,1.0911517602036769
36,1.0911517602036769
37,1.0911517602036767
38,1.0911517602036767
39,1.0911517602036767
40,1.0911517602036767
41,1.0911517602036767
42,1.0911517602036767
43,1.0911517602036767
44,1.0911517602036767
45,1.0911517602036767
46,1.0911517602036767
47,1.0911517602036767
48,1.0911517602036767
49,1.0911517602036767
50,1.0911517602036767
51,1.0911517602036767
52,1.0911517602027094
