iteration,objective
0,0.48878378516545495
1,0.48878378516545495
2,0.48878378516545495
3,0.4885620153972998
4,0.4813290110341198
5,0.474379926928591
6,0.4675700881393333
7,0.46087314902930016
8,0.45428673705149447
9,0.4478143283942581
10,0.44146158026291504
11,0.43523534915890516
12,0.42914337662399443
13,0.4231941697186401
14,0.41739692125397465
15,0.4117613893037499
16,0.40629767143774365
17,0.40101581871306097
18,0.39592526592749056
19,0.391034124789522
20,0.3863484842735804
21,0.3818719326275678
22,0.3776054861829695
23,0.3735479659678705
24,0.36969668764849506
25,0.36604823936145303
26,0.3625991551317267
27,0.3593463932665078
28,0.3562876219578569
29,0.35342136120309864
30,0.35074703630132625
31,0.34826498446043747
32,0.34597643984518206
33,0.34388351328334676
34,0.34198918502985126
35,0.3402973437098463
36,0.3388129297003072
37,0.33754226709188784
38,0.33649366799330127
39,0.3356783033627058
40,0.3351110387263076
41,0.33481032595581717
42,0.3347676015369155
43,0.3347654734220267
44,0.3347653747149255
45,0.33476537005739526
46,0.33476536982793975
47,0.3347653698160038
