iteration,objective
0,1.0559037361618877
1,1.0559037361618877
2,1.0559037361618877
3,1.0559037361618877
4,1.054498655523352
5,1.0478025195722187
6,1.0412662748838428
7,1.03478993764521
8,1.028361258029516
9,1.0219779291653237
10,1.0156397233093264
11,1.009347061401942
12,1.0031006258270907
13,0.99690122677155
14,0.9907497479078529
15,0.9846471215487703
16,0.9785943162148387
17,0.9725923299529867
18,0.9666421865248485
19,0.9607449331124572
20,0.9549016388625113
21,0.9491133939085942
22,0.9433813086701115
23,0.9377065133106363
24,0.9320901572844734
25,0.9265334089265845
26,0.9210374550565301
27,0.9156035005765187
28,0.9102327680495368
29,0.904926497247306
30,0.8996859446602763
31,0.8945123829635454
32,0.8894071004337332
33,0.8843714003126801
34,0.8794066001144463
35,0.8745140308725763
36,0.8696950363249827
37,0.864950972034152
38,0.860283204440682
39,0.8556931098484636
40,0.8511820733401133
41,0.8467514876215609
42,0.8424027517950052
43,0.8381372700597661
44,0.8339564503409069
45,0.8298617028458339
46,0.825854438549458
47,0.8219360676088716
48,0.8181079977088932
49,0.8143716323402269
50,0.8107283690123945
51,0.8071795974040156
52,0.803726697453406
53,0.8003710373928926
54,0.7971139717306068
55,0.793956839183906
56,0.7909009605689019
57,0.787947636650864
58,0.7850981459605241
59,0.7823537425814452
60,0.7797156539137166
61,0.7771850784191787
62,0.7747631833531693
63,0.7724511024874079
64,0.7702499338279457
65,0.7681607373311118
66,0.7661845326189076
67,0.7643222966931617
68,0.7625749616447054
69,0.7609434123494306
70,0.7594284841366699
71,0.7580309604058114
72,0.7567515701525448
73,0.7555909853432932
74,0.7545498180390959
75,0.7536286171063858
76,0.7528278642365067
77,0.752147968771252
78,0.7515892603544083
79,0.751151977286165
80,0.7508736833736869
81,0.7507285750387649
82,0.7506526728143749
83,0.7506128332533107
84,0.7505918476092125
85,0.7505807536681753
86,0.7505748680835935
87,0.7505717347656894
88,0.7505700610038786
89,0.7505691639547765
90,0.7505686816416665
91,0.7505684215129236
92,0.750568280794738
93,0.7505682044513348
94,0.7505681629167407
95,0.7505681402585841
96,0.7505681278656064
97,0.7505681210700492
98,0.7505681173346578
99,0.7505681152765237
100,0.7505681141399326
101,0.7505681135108673
102,0.7505681131619542
103,0.7505681129680257
104,0.7505681128600221
105,0.750568112799755
106,0.7505681127660612
107,0.7505681127471893
108,0.7505681127366003
109,0.7505681127306483
110,0.7505681127272973
111,0.7505681127254075
112,0.7505681127243399
113,0.7505681127237359
