method,wallclock_seconds
RPB,0.008949995040893555
RPB-FO,0.008732080459594727
RCBM,0.5165901184082031
RCBM-FO,0.332535982131958
PBA,0.2803318500518799
PBA-FO,0.3425769805908203
SGM,0.41557908058166504
SGM-FO,0.4124579429626465
