iteration,objective
0,2.0832759564529733
1,2.0832759564529733
2,2.0832759564529733
3,2.0832052846645346
4,2.0764541425548817
5,2.0697535278134285
6,2.063071943563939
7,2.0564094586005703
8,2.0497662497135796
9,2.043142512119066
10,2.036538447719346
11,2.029954262323012
12,2.0233901647643853
13,2.0168463665736143
14,2.010323081841526
15,2.003820527163758
16,1.997338921620674
17,1.9908784867747569
18,1.9844394466770763
19,1.9780220278786942
20,1.971626459444815
21,1.9652529729704797
22,1.9589018025971172
23,1.9525731850294985
24,1.9462673595528626
25,1.939984568049993
26,1.9337250550181664
27,1.9274890675858392
28,1.9212768555290194
29,1.915088671287271
30,1.908924769979291
31,1.9027854094180192
32,1.896670850125234
33,1.8905813553456148
34,1.8845171910601954
35,1.8784786259992245
36,1.872465931654332
37,1.866479382290027
38,1.8605192549544498
39,1.8545858294893454
40,1.8486793885392316
41,1.8428002175597247
42,1.8369486048249495
43,1.8311248414340422
44,1.8253292213166592
45,1.8195620412374756
46,1.8138236007996213
47,1.8081142024470085
48,1.8024341514655076
49,1.7967837559829163
50,1.7911633269676919
51,1.7855731782263737
52,1.78001362639968
53,1.7744849909571734
54,1.76898759419052
55,1.763521761205214
56,1.7580878199107652
57,1.752686101009276
58,1.7473169379823588
59,1.7419806670763227
60,1.736677627285609
61,1.7314081603343752
62,1.7261726106561996
63,1.7209713253718495
64,1.7158046542650267
65,1.710672949756071
66,1.7055765668735237
67,1.700515863223527
68,1.6954911989569803
69,1.6905029367343807
70,1.6855514416883306
71,1.6806370813836171
72,1.6757602257748023
73,1.670921247161304
74,1.6661205201398561
75,1.6613584215543402
76,1.6566353304428987
77,1.6519516279822826
78,1.647307697429385
79,1.6427039240599062
80,1.638140695104062
81,1.6336183996793776
82,1.6291374287203901
83,1.6246981749053129
84,1.6203010325795761
85,1.6159463976761903
86,1.6116346676329192
87,1.6073662413061967
88,1.6031415188817721
89,1.5989609017820365
90,1.5948247925700128
91,1.5907335948499584
92,1.5866877131645927
93,1.582687552888904
94,1.5787335201205184
95,1.5748260215666405
96,1.5709654644275346
97,1.5671522562765685
98,1.5633868049367945
99,1.5596695183541078
100,1.5560008044669562
101,1.5523810710726522
102,1.5488107256903003
103,1.5452901754203647
104,1.541819826800912
105,1.538400085660587
106,1.535031356968344
107,1.531714044680019
108,1.5284485515817714
109,1.5252352791305053
110,1.5220746272912973
111,1.5189669943719621
112,1.5159127768548077
113,1.5129123692257058
114,1.5099661638005721
115,1.5070745505493532
116,1.504237916917683
117,1.5014566476462896
118,1.4987311245883228
119,1.496061726524724
120,1.493448828977811
121,1.4908928040232088
122,1.4883940201003245
123,1.4859528418215135
124,1.4835696297801242
125,1.4812447403576225
126,1.4789785255299712
127,1.4767713326734708
128,1.474623504370277
129,1.4725353782137947
130,1.4705072866141733
131,1.4685395566041264
132,1.4666325096452981
133,1.4647864614354125
134,1.4630017217164366
135,1.461278594084003
136,1.4596173757983184
137,1.4580183575968133
138,1.4564818235087658
139,1.4550080506721417
140,1.4535973091528969
141,1.4522498617669715
142,1.450965963905208
143,1.449745863361426
144,1.4485898001638613
145,1.4474980064101703
146,1.4464707061061972
147,1.4455081150086488
148,1.444610440471818
149,1.4437778812984268
150,1.4430106275946
151,1.4423088606288847
152,1.441672752695057
153,1.441102466978196
154,1.4405981574230875
155,1.4401866724933232
156,1.4398765071560922
157,1.4396427381208239
158,1.4394665511030942
159,1.439333755165649
160,1.439233652859906
161,1.4391581834018894
162,1.4391012742988911
163,1.4390583515058066
164,1.4390259697939987
165,1.4390015340763629
166,1.4389830894387148
167,1.4389691630065249
168,1.4389586448833778
169,1.4389506985212162
170,1.43894469325086
171,1.438940153492924
172,1.4389367205221872
173,1.4389341236788948
174,1.4389321586892525
175,1.4389306713362635
176,1.438929545157692
177,1.4389286921756845
178,1.4389280459090872
179,1.4389275561049173
180,1.438927184764887
181,1.4389269031477439
182,1.4389266895071042
183,1.4389265273837848
184,1.4389264043163181
185,1.4389263108669277
186,1.438926239885558
187,1.4389261859536007
188,1.4389261449633004
189,1.4389261137996505
190,1.4389260900997254
191,1.4389260720705328
192,1.4389260583511265
193,1.4389260479081736
194,1.4389260399568509
195,1.4389260339008962
196,1.4389260292871653
197,1.4389260257711771
198,1.4389260230909768
199,1.4389260210473072
200,1.4389260194885538
201,1.4389260182993227
202,1.4389260173917606
203,1.4389260166989628
204,1.4389260161699615
205,1.4389260157659196
206,1.4389260154572365
207,1.4389260152213421
208,1.4389260150410246
209,1.4389260149031524
210,1.4389260147977072
211,1.4389260147170408
212,1.4389260146553144
213,1.4389260146080687
214,1.438926014571897
215,1.4389260145441967
216,1.4389260145229787
217,1.4389260145067215
218,1.4389260144942622
219,1.4389260144847114
220,1.438926014477388
221,1.4389260144717715
222,1.4389260144674634
223,1.438926014464157
224,1.4389260144616194
225,1.4389260144596712
226,1.4389260144581753
227,1.4389260144570266
228,1.4389260144561438
