iteration,objective
0,1.5483493213348543
1,1.548349321178844
2,1.1903503447965968
3,1.0963875021206289
4,1.0912431566036813
5,1.0912431566036704
6,1.0912395082651667
7,1.0911548450321567
8,1.0911518079455358
9,1.0911517609734689
10,1.0911517609734689
11,1.0911517609734676
12,1.0911517602129093
13,1.0911517602129093
14,1.0911517602129093
15,1.0911517602129093
16,1.091151760212909
17,1.0911517602126948
18,1.0911517602126948
19,1.0911517602126948
20,1.0911517602126948
21,1.0911517602126948
22,1.0911517602126948
23,1.0911517602126948
24,1.0911517602126948
25,1.0911517602126948
26,1.0911517602126948
27,1.0911517602126948
28,1.0911517602126948
29,1.0911517602126948
30,1.0911517602126948
31,1.0911517602126948
32,1.0911517602126948
33,1.0911517602126948
34,1.091151760205487
35,1.0911517602045937
36,1.0911517602045937
37,1.0911517602045937
38,1.0911517602045937
39,1.0911517602045937
40,1.0911517602045937
41,1.0911517602045937
42,1.0911517602045937
43,1.0911517602045937
44,1.0911517602045937
45,1.0911517602045937
46,1.0911517602045937
47,1.0911517602045937
48,1.0911517602045937
49,1.0911517602045937
50,1.0911517602045937
51,1.0911517602045937
52,1.0911517602045937
53,1.0911517602045937
54,1.091151760203665
55,1.0911517602026912
