method,wallclock_seconds
RPB,0.00786900520324707
RPB-FO,0.007149934768676758
RCBM,1.1218321323394775
RCBM-FO,0.6821980476379395
PBA,0.5794398784637451
PBA-FO,0.5029799938201904
SGM,0.557197093963623
SGM-FO,0.4709339141845703
