iteration,objective
0,1.5483493213348543
1,1.5483493213348543
2,1.5483493213348543
3,1.5481173848369107
4,1.5412583442622951
5,1.5346177000448111
6,1.528048869773775
7,1.5215211101995227
8,1.5150266558626406
9,1.5085630020449194
10,1.5021292817704754
11,1.4957252624696291
12,1.489350998738357
13,1.4830066915133988
14,1.476692623860727
15,1.470409128946301
16,1.4641565728864703
17,1.457935345025169
18,1.4517458521569138
19,1.4455885149578693
20,1.439463765707829
21,1.4333720467955795
22,1.4273138097151152
23,1.4212895143779853
24,1.4152996286341046
25,1.4093446279327981
26,1.40342499507976
27,1.397541220060449
28,1.391693799909923
29,1.385883238615266
30,1.3801100470408323
31,1.3743747428693118
32,1.3686778505534831
33,1.3630199012748525
34,1.3574014329062882
35,1.3518229899764418
36,1.3462851236342037
37,1.3407883916117953
38,1.3353333581853615
39,1.3299205941321108
40,1.3245506766831892
41,1.3192241894715873
42,1.3139417224744614
43,1.3087038719492967
44,1.3035112403634126
45,1.2983644363163227
46,1.2932640744545043
47,1.2882107753781546
48,1.2832051655395238
49,1.2782478771324322
50,1.2733395479725966
51,1.2684808213683927
52,1.2636723459817052
53,1.2589147756785055
54,1.254208769368836
55,1.2495549908358587
56,1.2449541085536604
57,1.2404067954935085
58,1.2359137289182611
59,1.231475590164652
60,1.2270930644131886
61,1.222766840445412
62,1.2184976103882785
63,1.2142860694454698
64,1.2101329156154104
65,1.206038849395853
66,1.2020045734748606
67,1.1980307924080793
68,1.1941182122822087
69,1.1902675403646015
70,1.186479484738973
71,1.1827547539272156
72,1.1790940564973678
73,1.1754981006578085
74,1.1719675938378034
75,1.1685032422545598
76,1.165105750466996
77,1.1617758209164781
78,1.158514153454819
79,1.1553214448598905
80,1.1521983883392415
81,1.1491456730221716
82,1.1461639834407642
83,1.1432539990004256
84,1.1404163934405467
85,1.1376518342859394
86,1.1349609822897642
87,1.1323444908687244
88,1.1298030055313357
89,1.1273371633001483
90,1.1249475921288474
91,1.1226349103151905
92,1.1203997259108
93,1.1182426361288729
94,1.116164226750883
95,1.1141650715334206
96,1.1122457316163081
97,1.1104067549331724
98,1.1086486756256528
99,1.1069720134624381
100,1.1053772732643075
101,1.1038649443363207
102,1.10243549990827
103,1.101089396584418
104,1.0998270738034428
105,1.0986489533093464
106,1.0975554386338353
107,1.0965469145903295
108,1.0956237467792014
109,1.09478628110298
110,1.0940348432888596
111,1.0933697384134278
112,1.092791250420186
113,1.0922996416119024
114,1.0919148001931007
115,1.0916591217640237
116,1.0914892549724666
117,1.0913763748725709
118,1.0913013359125183
119,1.0912514286151875
120,1.0912182175294354
121,1.0911961034822357
122,1.091181368930287
123,1.0911715446327042
124,1.0911649896652131
125,1.0911606129343803
126,1.0911576884916534
127,1.0911557330154253
128,1.0911544244993512
129,1.0911535482600252
130,1.0911529610642245
131,1.0911525672798332
132,1.091152303009847
133,1.091152125529979
134,1.0911520062520332
135,1.091151926032761
136,1.0911518720441216
137,1.0911518356837222
138,1.0911518111787097
139,1.0911517946522964
140,1.0911517834991586
141,1.091151775967205
142,1.0911517708773233
143,1.0911517674354525
144,1.0911517651064737
145,1.0911517635295218
146,1.0911517624610827
147,1.0911517617367164
148,1.0911517612453103
149,1.0911517609117347
150,1.0911517606851577
151,1.091151760531163
152,1.091151760426436
153,1.0911517603551708
154,1.0911517603066478
155,1.0911517602735892
156,1.091151760251054
157,1.0911517602356826
158,1.091151760225192
159,1.0911517602180285
160,1.0911517602131335
161,1.0911517602097875
162,1.0911517602074985
163,1.091151760205932
164,1.0911517602048595
165,1.091151760204124
