method,wallclock_seconds
RPB,0.10385298728942871
RPB-FO,0.09803104400634766
RCBM,4.854726076126099
RCBM-FO,4.10342001914978
PBA,1.3919129371643066
PBA-FO,1.4939579963684082
SGM,5.945307016372681
SGM-FO,6.65491795539856
