x,y
-0.4526738580398888,0.09675341689084602
-0.4527234312275654,0.09654220999986642
-0.45484343117500725,0.07984577236609786
-0.9484222442723068,0.16258494592573297
-0.8481962622887033,0.14450069718154704
-0.8481607371249186,0.14449946899239216
-0.8296788091604769,0.1406086914527148
-0.7904567059760492,0.1356540190946023
-0.5380299453610715,0.16760562994516945
-0.537986834196482,0.16739084027154552
-0.5380875082440981,0.16759654760870427
-0.7805465216890307,0.14866639830943396
-0.7804628265241808,0.14860894748789244
-0.780569403181745,0.14847186181584895
-0.7804752721159447,0.14823525615193367
-0.7727859113768561,0.1384277743028803
-0.7724608253892433,0.13753704964447444
-0.7724636601995449,0.13745870942868532
-0.7725516172133932,0.13745906543211114
-0.7793561810860096,0.13919019011764622
-0.8027165749703579,0.14891690096707624
-0.8027041730803232,0.14902827233194885
-0.8027925391390145,0.14897529989123223
-0.9518662903086096,0.1775550953017036
-0.9518675700310353,0.17753754940385658
-0.9407134582817116,0.17627988359502328
-0.8281768718114553,0.15969876385936513
-0.7222792516403463,0.13254182457099054
-0.7222318188364633,0.13261283090710826
-0.7590761537890035,0.11915721802035271
-0.8174875171430198,0.13421805523690636
-0.8283814080120809,0.1406156687020565
-0.8912255293388139,0.1672055794806343
-0.8912467547447638,0.16722434168288358
-0.60987554782048,0.11930726650772282
-0.6098363078688833,0.11947541035963616
-0.6965745759216854,0.1451371887311515
-0.7265664891196748,0.1522627972497416
-0.8776788723586966,0.1756932277394872
-0.8776828807897565,0.17569270651457589
-0.6397123064977358,0.11114223592524247
-0.6205303329320689,0.10962276187223928
-0.6169071538004987,0.11060141841645665
-0.6374762010533204,0.1189549297257191
-0.8306117613785567,0.1768568565393318
-0.8499194309796945,0.1821885287185717
-0.8550777591937496,0.1823957584641666
-0.855219391507826,0.1824120648664681
-0.8664736552139769,0.1853036716340622
-0.9702789136893923,0.21128452600278788
-0.8904189241828345,0.18443955831223716
-0.8771157509301476,0.18064467383240948
-0.877123977474275,0.18064630912110097
-0.8417148988422601,0.1720035502189044
-0.809201737714753,0.16502636844199897
-0.7841408256725392,0.15869491957385548
-0.7812432741700758,0.1584856150715004
-0.12034793545481212,-0.029730248543374457
0.2359484993953092,-0.09717592697292729
-0.8870624202774833,0.1913860779298418
-0.8870697922891597,0.19137511995640238
-0.7474800714771994,0.087324806763969
-0.7343696442251799,-0.08584669744563683
-0.736254420081012,-0.10406517916150602
-0.7585212386961061,-0.15760831183935672
-0.7588638683175112,-0.15791262293144262
-0.7586358658809665,-0.15764626929929712
-0.5857798203351694,-0.1307262699938625
-0.5712900035741817,-0.13196196860932938
-0.5713654667999012,-0.13191389799389255
