x,y
-0.45129047239042985,0.1066347045582962
-0.45128837995799614,0.10646493964719854
-0.4408748539479323,0.05222629942967483
-0.9522518936140043,0.16325250297189406
-0.848023420121646,0.14417303722570363
-0.8469905282375527,0.1440844042498893
-0.82208867591129,0.13804836231018483
-0.8013660824912461,0.13493699240338022
-0.5254532779882228,0.16973542123279797
-0.5251856822551775,0.1703141031357332
-0.5261862794814145,0.16858483613081923
-0.7806411647572556,0.14710596205280882
-0.7804523049168742,0.14653150522636788
-0.7811127094255919,0.14707908389693103
-0.7803352773880965,0.14512094341759046
-0.7754570434473185,0.14128503458928435
-0.7742063744115883,0.14083664256354816
-0.7749219343943574,0.14071743876268425
-0.7749320185216465,0.14002172514270783
-0.7757434461737874,0.14084180928196735
-0.8005539351004137,0.14943785291396836
-0.8009385847869033,0.14928504935334982
-0.8014417638443502,0.1497803421485939
-0.9534546092249467,0.17784345571996002
-0.9534888038736313,0.1778067514350613
-0.9409281027343535,0.17631140632622846
-0.8280387318460196,0.15974950923393533
-0.7100196956214218,0.1336315769721528
-0.7108458822588403,0.13246443072902228
-0.7577289936291687,0.11743966400506775
-0.8237671830113656,0.13576862263527012
-0.8242809635863099,0.13608630468937113
-0.8953100005236817,0.16804297676252813
-0.895787674014383,0.16840109109590468
-0.5937699868147822,0.11509916320109553
-0.5940198681334895,0.11532429956241158
-0.710648989463615,0.15158179179341766
-0.7111330949883717,0.15107830114939177
-0.8830160375007636,0.17668014614694574
-0.8827786536105405,0.17672624268200715
-0.6312542529949993,0.1035241868261474
-0.6273937948100503,0.10296483427184358
-0.5863086368272825,0.10751265499972862
-0.6373477136728478,0.12088602365850092
-0.8506999747260398,0.18162402818276346
-0.8512935071323559,0.1821076331693076
-0.852085848228193,0.18166867862031938
-0.8523980542564,0.18214107018658157
-0.8535456549783086,0.18223345002312805
-0.9709902454724948,0.2114457459708434
-0.8873952963972648,0.1822456908663278
-0.8790800136879778,0.17977025272148142
-0.8788191648721083,0.17996499843087868
-0.8070792787000158,0.16575115055597409
-0.8062441547927188,0.16591261167040508
-0.8048174099055919,0.16516881841967546
-0.8041519933567013,0.16550424009138856
-0.1219467237645209,-0.03418169626306905
0.2851396226557318,-0.11071889081389967
-0.8913210286885453,0.19340937991838308
-0.8916350097286835,0.19326823454886946
-0.7427079550651335,0.08951155728893141
-0.7326190572962835,-0.09600708224268913
